category,vendor,part_number,description,unit_cost,currency,lead_time_days,preferred,usage_count,notes
# PLC & Control Systems (Allen-Bradley Preferred)
PLC,Allen-Bradley,1769-L33ER,CompactLogix 5370 L3 Controller 2MB Ethernet,3200.00,USD,56,true,15,INSA standard for medium projects
PLC,Allen-Bradley,1769-L36ERM,CompactLogix 5370 L3 Controller 3MB Ethernet 1GB SD,4100.00,USD,56,true,12,Preferred for data logging
PLC,Allen-Bradley,5069-L320ERM,CompactLogix 5380 Controller 5MB,5800.00,USD,70,true,8,Large projects with complex logic
PLC,Allen-Bradley,1756-L83E,ControlLogix 5580 Controller 10MB,12500.00,USD,84,true,5,Enterprise-level DCS integration
PLC_Safety,Allen-Bradley,1756-L72S,GuardLogix 5570 Safety Controller,15200.00,USD,98,true,3,ESD systems SIL 2/3

# I/O Modules - Analog
IO_Analog,Allen-Bradley,1769-IF8,CompactLogix 8-Ch Analog Input 4-20mA/HART,450.00,USD,42,true,20,Standard AI module
IO_Analog,Allen-Bradley,1769-OF8C,CompactLogix 8-Ch Analog Output 4-20mA,520.00,USD,42,true,18,Standard AO module
IO_Analog,Allen-Bradley,1769-IF16C,CompactLogix 16-Ch Analog Input Current/Voltage,680.00,USD,42,true,10,High-density AI
IO_Analog,Allen-Bradley,1769-IF4XOF2,CompactLogix 4-In/2-Out Analog Combo,580.00,USD,42,true,8,Small panels

# I/O Modules - Digital
IO_Digital,Allen-Bradley,1769-IQ16,CompactLogix 16-Ch Digital Input 24VDC,280.00,USD,42,true,25,Standard DI module
IO_Digital,Allen-Bradley,1769-OB16,CompactLogix 16-Ch Digital Output 24VDC,320.00,USD,42,true,22,Standard DO module
IO_Digital,Allen-Bradley,1769-IQ32,CompactLogix 32-Ch Digital Input 24VDC,420.00,USD,42,true,12,High-density DI

# HMI (Rockwell PanelView)
HMI,Rockwell,2711P-T10C4D9,PanelView Plus 7 Standard 10-inch Ethernet,1800.00,USD,70,true,8,Field panels
HMI,Rockwell,2711P-T15C4D9,PanelView Plus 7 Standard 15-inch Ethernet,2500.00,USD,70,true,12,Control room standard
HMI,Rockwell,2711P-T19C4D9,PanelView Plus 7 Standard 19-inch Ethernet,3200.00,USD,70,true,6,Large control room displays

# SCADA Software
SCADA,Ignition,IGN-SCADA-UNL,Ignition SCADA Unlimited License,5000.00,USD,7,true,8,Preferred SCADA platform
SCADA,Ignition,IGN-EDGE-PANEL,Ignition Edge Panel License,500.00,USD,7,true,4,Remote panels
SCADA,Ignition,IGN-PERSPECTIVE,Ignition Perspective Module Web HMI,2000.00,USD,7,true,5,Mobile access

# Pressure Transmitters
Transmitter_Pressure,Rosemount,3051CD,Pressure Transmitter 0-100 PSI 4-20mA/HART,850.00,USD,84,true,15,General purpose
Transmitter_Pressure,Rosemount,3051S,Scalable Pressure Transmitter WirelessHART,1200.00,USD,98,true,8,Remote locations
Transmitter_Pressure,E+H,Cerabar PMC21,Pressure Transmitter 0-400 bar HART,920.00,USD,70,true,10,High pressure apps
Transmitter_Pressure,Rosemount,3051T,Multivariable Transmitter DP/Pressure/Temp,1850.00,USD,98,true,5,Flow compensation

# Flow Meters
Transmitter_Flow,E+H,Promag 53P,Electromagnetic Flow Meter DN50 4-20mA,1200.00,USD,98,true,12,Conductive liquids
Transmitter_Flow,Rosemount,8800D,Vortex Flow Meter 4-20mA/HART,1450.00,USD,84,true,8,Steam/gas/liquids
Transmitter_Flow,Micro Motion,F100,Coriolis Mass Flow Meter DN25,3500.00,USD,112,true,5,Custody transfer
Transmitter_Flow,E+H,Proline Prowirl 200,Vortex Flow Meter DN80,1680.00,USD,84,true,6,Large pipe sizes

# Temperature Transmitters
Transmitter_Temp,Rosemount,3144P,Temperature Transmitter RTD/TC HART,520.00,USD,70,true,18,Standard temp measurement
Transmitter_Temp,E+H,iTEMP TMT142,Temperature Transmitter 2-wire HART,480.00,USD,56,true,12,Cost-effective option
Transmitter_Temp,Rosemount,648,Wireless Temperature Transmitter WirelessHART,980.00,USD,98,true,4,Remote monitoring

# Level Transmitters
Transmitter_Level,Rosemount,5408,Radar Level Transmitter Non-contact,2100.00,USD,112,true,10,General purpose level
